,ratio,AvgGain,BattingAvg
ADP,5.083038146037071,3.6230081609974985,10.0
CETX,0.8207598780524034,2.4175319230321493,7.0
MARK,1.5723241303685231,6.190772884269357,11.0
GNPX,1.4519058622372711,1.8599384587856924,9.0
VCIT,2.2033405830683273,0.1942396639088869,11.0
PLUG,15.05674268398212,23.05813968517695,16.0
CSCO,2.4256321106736816,1.2517295094093939,11.0
UNIT,2.247603142540618,3.016952110497433,16.0
CERN,1.9081474020698703,1.351596122937401,18.0
INO,0.9745622323099886,3.9659023309340036,13.0
AAL,1.521213868158363,2.8420009485329154,14.0
ACWI,3.3670692349424467,1.331302185467359,17.0
XERS,1.7750208277211295,4.14495533277722,15.0
IMMU,4.743208802379552,0.7481695871985883,11.0
MYL,0.8981850485691607,1.2635200944947484,13.0
TIGR,2.42158984887169,2.812107563250432,14.0
CIDM,0.29456258626357046,0.9630407381561253,6.0
VXUS,2.9152833614553932,0.9837795866644183,11.0
NKLA,2.4660446993500016,9.579122793723037,18.0
PDBC,2.423450489918933,0.7782551411660998,8.0
SPWR,2.9025764952008206,7.374350995529579,11.0
OPK,7.577925003408697,15.529939114499017,9.0
JBLU,2.015760441638241,2.230087071258752,14.0
PEIX,2.461324859671557,8.510821258963214,11.0
SONO,2.2997380832214667,2.5904006995034226,7.0
HCACW,-inf,0,0
CRON,3.339849105125447,4.309308044283783,12.0
EXPE,1.8558247004761892,2.4856648086559168,9.0
CAN,2.234166723068101,3.248315871500945,7.0
TELL,0.7497846374784067,3.0685980357959997,8.0
CJJD,2.3278047871369516,5.783902051406805,8.0
BLU,1.8369188614520786,2.1559224276076114,13.0
TTWO,1.5221476794980375,1.1100712235890857,18.0
ZNGA,3.44483048658229,2.404644573830157,12.0
BOXL,2.928008787403202,10.089926406810234,12.0
WIMI,3.8225673066066754,8.311426636348896,11.0
DISCK,1.9454735714364877,1.7878583908706946,11.0
IGSB,3.63501077402635,0.1064464788814834,8.0
VIAV,2.89091006195356,2.9234229235622506,12.0
UMRX,1.7295380151979847,8.970649026041267,8.0
PAYX,1.3285532634663526,1.0160986834083856,14.0
ENPH,2.6440556098287673,4.662504094772232,12.0
SFET,3.300058073176082,7.21648775032413,10.0
BLNK,3.7108272665669175,10.06191233445315,14.0
CTSH,1.3376650855790286,0.9883621071028637,15.0
AMGN,1.5928867589516833,1.4127321003539677,14.0
PENN,1.591393972355525,2.27903043649707,19.0
CVAC,-inf,0,0
VCSH,1.390973162505358,0.05941932950131642,8.0
TRVN,4.5105372269788795,10.374306334499266,10.0
ADMP,2.9089748268754474,6.630647967043002,7.0
TQQQ,5.155455255255854,10.525054005022076,16.0
SWKS,2.9389793824159622,2.905923158179413,18.0
CAR,3.748784173453463,8.982770546867624,10.0
TNXP,3.1228193192735065,9.839287296871113,10.0
ZS,1.4521037251630096,1.6444822838147592,11.0
MGI,7.084984263998235,12.04891400442003,11.0
HOLX,1.3825700716206473,1.2653030523654294,13.0
IBM,2.466564649213017,1.5161544037533004,11.0
T,2.3231881832011334,1.4199115437407928,12.0
DAL,1.3291338931743168,1.633114789790877,14.0
J&J,-inf,0,0
GE,3.0901144255799053,5.149291934251665,7.0
NIO,7.32884609042743,12.277176729783694,16.0
JKS,4.647243236076741,12.973885012801018,7.0
